scenarios,time_steps,repeats,block_size,queue_capacity_requested,queue_capacity_resolved,workers_requested,workers_used,metrics_median_seconds,metrics_scenarios_per_second,unobserved_median_seconds,unobserved_scenarios_per_second,metrics_throughput_loss_percent,metrics_speedup,metrics_parallel_efficiency,unobserved_speedup,unobserved_parallel_efficiency,cpu_utilization_percent,price,standard_error,block_compute_p50_ns,block_compute_p95_ns,block_compute_p99_ns,block_commit_p50_ns,block_commit_p95_ns,block_commit_p99_ns,assignment_queue_peak,completion_queue_peak,scheduler_blocked_ns,coordinator_blocked_ns,coordinator_consume_ns,coordinator_blocks_per_second,max_reduction_backlog_blocks,max_reduction_backlog_bytes
5000000,1,3,8192,1,1,4,4,0.094693833,52801748.979788363,0.097476958,51294173.542018004,-2.939077353,2.841808611,0.710452153,2.812050033,0.703012508,396.271845918,10.444555390,0.006578653,546833.000000000,1021709.000000000,1109417.000000000,14792.000000000,35916.000000000,75333.000000000,1.000000000,1.000000000,93659707.000000000,92661242.000000000,1424059.000000000,429055.256839780,611,24440
5000000,1,3,8192,1,1,8,8,0.069553625,71886979.291158453,0.070257834,71166441.026348740,-1.012469156,3.868982386,0.483622798,3.901487811,0.487685976,662.411197116,10.444555390,0.006578653,689458.000000000,1140459.000000000,1294583.000000000,17916.000000000,354083.000000000,762459.000000000,1.000000000,1.000000000,63943170.000000000,66843840.000000000,1424293.000000000,428984.766477122,611,24440
5000000,1,3,8192,8,8,1,1,0.268088000,18650592.342812806,0.268916458,18593134.972795155,-0.309024649,1.000000000,1.000000000,1.000000000,1.000000000,100.934798723,10.444555390,0.006578653,429459.000000000,478375.000000000,493958.000000000,25625.000000000,31250.000000000,41750.000000000,8.000000000,1.000000000,264150043.000000000,267050951.000000000,854823.000000000,714767.852526195,611,24440
5000000,1,3,8192,8,8,2,2,0.156739875,31899987.160255168,0.156547083,31939272.863998365,0.123001246,1.710400752,0.855200376,1.717799226,0.858899613,201.452884915,10.444555390,0.006578653,504625.000000000,557250.000000000,612292.000000000,11125.000000000,19708.000000000,26584.000000000,8.000000000,2.000000000,154261133.000000000,155560784.000000000,922072.000000000,662638.058633165,611,24440
5000000,1,3,8192,8,8,4,4,0.096136708,52009269.965849049,0.095901708,52136714.812211685,0.244443569,2.788612233,0.697153058,2.804084136,0.701021034,395.681939431,10.444555390,0.006578653,549541.000000000,1026458.000000000,1232125.000000000,15834.000000000,26958.000000000,42959.000000000,8.000000000,3.000000000,94193247.000000000,94346574.000000000,1403675.000000000,435285.945820792,611,24440
5000000,1,3,8192,8,8,8,8,0.069194042,72260556.768746078,0.068340916,73162613.155492380,1.232947195,3.874437629,0.484304704,3.934926158,0.491865770,662.564271068,10.444555390,0.006578653,602166.000000000,1471209.000000000,2939708.000000000,29458.000000000,1048583.000000000,1286584.000000000,8.000000000,8.000000000,67176333.000000000,66497058.000000000,1011624.000000000,603979.344104134,611,24440
5000000,1,3,32768,0,2,1,1,0.271869625,18391168.193210255,0.267340958,18702708.471628953,1.665749530,1.000000000,1.000000000,1.000000000,1.000000000,99.695498068,10.444555390,0.006578653,1757875.000000000,1930375.000000000,2029166.000000000,22959.000000000,32125.000000000,43333.000000000,2.000000000,1.000000000,266883243.000000000,271518083.000000000,263579.000000000,580471.130097618,153,6120
5000000,1,3,32768,0,4,2,2,0.152434125,32801054.225882821,0.153321000,32611318.736507066,-0.581808699,1.783522062,0.891761031,1.743668239,0.871834119,198.587422600,10.444555390,0.006578653,2004375.000000000,2110375.000000000,2181583.000000000,11583.000000000,23625.000000000,30292.000000000,4.000000000,2.000000000,147082290.000000000,152095003.000000000,250207.000000000,611493.683230285,153,6120
5000000,1,3,32768,0,8,4,4,0.096165167,51993878.407136753,0.094435291,52946307.964466378,1.798859248,2.827111245,0.706777811,2.830943339,0.707735835,387.480358392,10.444555390,0.006578653,2213916.000000000,3777625.000000000,4139042.000000000,15250.000000000,26000.000000000,40667.000000000,8.000000000,2.000000000,88649457.000000000,95621287.000000000,364996.000000000,419182.675974531,153,6120
5000000,1,3,32768,0,16,8,8,0.068513334,72978494.959827825,0.068439541,73057181.958599046,0.107706042,3.968127212,0.496015901,3.906235403,0.488279425,654.274100863,10.444555390,0.006578653,2882625.000000000,7144208.000000000,9098417.000000000,14125.000000000,4615625.000000000,7255708.000000000,16.000000000,16.000000000,58972710.000000000,68015254.000000000,283711.000000000,539281.169922914,153,6120
5000000,1,3,32768,1,1,1,1,0.273793459,18261941.020292964,0.272208542,18368270.015567698,0.578873216,1.000000000,1.000000000,1.000000000,1.000000000,99.659548272,10.444555390,0.006578653,1775417.000000000,1917000.000000000,2027416.000000000,22375.000000000,33375.000000000,44375.000000000,1.000000000,1.000000000,270619417.000000000,273429917.000000000,268408.000000000,570027.718994963,153,6120
5000000,1,3,32768,1,1,2,2,0.156075416,32035794.798073772,0.154255375,32413781.367423989,1.166129200,1.754238214,0.877119107,1.764661633,0.882330817,198.154412632,10.444555390,0.006578653,2019750.000000000,2211583.000000000,2413250.000000000,11583.000000000,23250.000000000,37125.000000000,1.000000000,1.000000000,153219332.000000000,155615707.000000000,248621.000000000,615394.516151089,153,6120
5000000,1,3,32768,1,1,4,4,0.120868042,41367427.793692566,0.100380334,49810553.529339723,16.950475627,2.265226229,0.566306557,2.711771630,0.677942908,349.522498263,10.444555390,0.006578653,2820500.000000000,4714208.000000000,5772584.000000000,15458.000000000,330791.000000000,902250.000000000,1.000000000,1.000000000,117831461.000000000,120253252.000000000,413170.000000000,370307.621560133,153,6120
5000000,1,3,32768,1,1,8,8,0.069145792,72310980.254590183,0.068402500,73096743.540075287,1.074963463,3.959654682,0.494956835,3.979511597,0.497438950,654.726754739,10.444555390,0.006578653,2978333.000000000,4483292.000000000,4912500.000000000,30458.000000000,1098958.000000000,1876875.000000000,1.000000000,1.000000000,60592631.000000000,67222711.000000000,351457.000000000,435330.637887423,153,6120
5000000,1,3,32768,8,8,1,1,0.267837458,18668038.583311226,0.270468208,18486461.077894967,-0.982218850,1.000000000,1.000000000,1.000000000,1.000000000,99.744450233,10.444555390,0.006578653,1714166.000000000,1905833.000000000,1967375.000000000,26167.000000000,33041.000000000,40625.000000000,8.000000000,1.000000000,253129455.000000000,267484241.000000000,253838.000000000,602746.633679749,153,6120
5000000,1,3,32768,8,8,2,2,0.154433417,32376412.418563530,0.159025208,31441556.108513311,-2.973314383,1.734323200,0.867161600,1.700788267,0.850394134,198.249120468,10.444555390,0.006578653,2008292.000000000,2178583.000000000,2245000.000000000,11708.000000000,23000.000000000,37375.000000000,8.000000000,2.000000000,145272125.000000000,154084081.000000000,243711.000000000,627792.754533033,153,6120
5000000,1,3,32768,8,8,4,4,0.099478375,50262180.096930616,0.096205625,51972013.070961289,3.289910998,2.692418910,0.673104728,2.811355448,0.702838862,385.589349551,10.444555390,0.006578653,2395209.000000000,3972583.000000000,4229208.000000000,15791.000000000,29750.000000000,40167.000000000,8.000000000,3.000000000,91550583.000000000,98915002.000000000,389007.000000000,393309.117830785,153,6120
5000000,1,3,32768,8,8,8,8,0.069702042,71733909.890330032,0.069343542,72104767.881629124,0.514332134,3.842605615,0.480325702,3.900409471,0.487551184,657.241863875,10.444555390,0.006578653,3115417.000000000,6152083.000000000,9085625.000000000,13625.000000000,2602833.000000000,3446833.000000000,8.000000000,8.000000000,63573418.000000000,69228661.000000000,407289.000000000,375654.633442101,153,6120
